Evaluation,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Brier
Reference random window split,0.938776,0.873418,0.971831,0.92,0.991183,0.982921,0.112791
Trajectory-independent held-out split,0.9821428571428571,0.968944099378882,0.9873417721518988,0.9780564263322884,0.998187817808071,0.9973471166527583,0.0787874882567288
