Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Brier
HydroFlowNet-XF,0.9387755102040817,0.8734177215189873,0.971830985915493,0.92,0.9911830985915494,0.9829208364239869,0.1127910551459647
w/o GMF,0.9413265306122449,0.8888888888888888,0.9577464788732394,0.9220338983050848,0.9900563380281691,0.9823988040893228,0.0804464377029772
w/o LFIE,0.9719387755102041,0.9645390070921985,0.9577464788732394,0.9611307420494699,0.9936619718309859,0.9830186638032301,0.06822292758882831
w/o Trust,0.9540816326530612,0.9133333333333333,0.9647887323943662,0.9383561643835616,0.9915211267605634,0.983621523174889,0.07582002329169092
