Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Brier
Logistic Regression,0.6275510204081632,1.0,0.0759493670886076,0.1411764705882353,0.7293357135129287,0.7415185506686903,0.2168358662095876
Random Forest,0.9540816326530612,1.0,0.8860759493670886,0.9395973154362416,0.9998241912798875,0.9996832799479698,0.05428356009070295
MLP,0.7602040816326531,0.8137254901960784,0.5253164556962026,0.6384615384615384,0.932949258898626,0.8379383145806445,0.10782007721129747
LSTM,0.9030612244897959,0.8061224489795918,1.0,0.8926553672316384,0.9324624039813912,0.844984875136322,0.07938126248614111
TCN,0.9030612244897959,0.8061224489795918,1.0,0.8926553672316384,0.9303256518446392,0.8478259978324834,0.08201179466792476
HydroFlowNet-XF,0.9821428571428571,0.968944099378882,0.9873417721518988,0.9780564263322884,0.998187817808071,0.9973471166527583,0.0787874882567288
