Model,Input,Batch,Device,Parameters,Mean_ms,Std_ms,Median_ms,Min_ms,Max_ms,Throughput_samples_per_s,Warmup_runs,Timed_runs,Benchmark
HydroFlowNet-XF,"M:[1,3,4,4] + S:[1,3,4,3]",1,CPU,2733206.0,5.2176666319999185,3.463833124998093,4.571177499997248,2.7616740000553364,24.256768999975975,191.65655273317117,50,500,Batch-1 CPU inference profiling
LSTM,"X:[1,3,7]",1,CPU,18818.0,0.22921364000092126,0.02404705875833778,0.21966700001030404,0.2085750000446751,0.3912469999818313,4362.742112537372,50,500,Batch-1 CPU inference profiling
TCN,"X:[1,3,7]",1,CPU,14146.0,0.1631836479989488,0.013325929231163726,0.15700949998631586,0.15385299997205948,0.27345299997705297,6128.06498851185,50,500,Batch-1 CPU inference profiling
Logistic Regression,"X:[1,21]",1,CPU,,0.5406758399997216,0.9394623061290044,0.2795455000068614,0.20348900000044523,6.362030999980561,1849.5370534783187,50,500,Batch-1 CPU inference profiling
Random Forest,"X:[1,21]",1,CPU,,77.26831037400099,10.115303497677532,77.63191050000273,54.433991999985665,98.52105400000255,12.941916228783967,50,500,Batch-1 CPU inference profiling
MLP,"X:[1,21]",1,CPU,,0.160121722000099,0.01831515070668538,0.15602950000470628,0.14641500001744134,0.3320870000038667,6245.248848868749,50,500,Batch-1 CPU inference profiling
