Parameter,Value
Python,3.13.15
OS,Linux-6.6.122+-x86_64-with-glibc2.39
CPU,Intel(R) Xeon(R) CPU @ 2.20GHz
PyTorch,2.11.0+cpu
CUDA,N/A
GPU,N/A
CUDA_available,False
PyTorch_threads,1
